Blog	four	looking	second	available	here	music	until	example	want	feature	how	series	re	wasn	service	needed	project	person	saying	best	never	asked	much	life	worked	things	had	easy	possible	right	old	people	support	happy	full	inside	time	minute	team	along	love	working	following	most	such	data	so	years	course	didn	internet	million	quite	wrong	open	city	future	san	turned	note	take	ways	going	where	many	wants	bernardino	photos	former	single	technology	being	around	traffic	world	power	industry	favorite	image	her	am	having	original	tv	th	case	large	small	past	hours	social	via	company	learn	sense	huge	its	always	found	really	research	also	play	sometimes	set	see	last	whole	community	recent	amp	couple	d	continue	anything	into	line	posted	up	us	ago	results	send	try	video	let	great	makes	next	process	high	move	perfect	doing	could	start	system	haven	face	fact	bring	should	hope	stuff	email	ve	site	less	web	five	become	does	chance	worth	above	told	thursday	word	work	interview	after	order	office	production	then	them	network	another	do	away	terms	com	launched	photo	thanks	night	security	post	months	way	war	update	together	global	gun	guy	change	usually	live	car	december	heard	means	write	product	use	still	non	half	now	year	space	shows	care	couldn	size	than	online	america	only	between	article	comes	these	media	thinking	real	read	early	using	business	aren	lot	building	since	month	very	learned	family	ask	takes	taken	history	help	soon	actually	ceo	android	beyond	event	issue	reason	put	american	behind	off	mobile	clear	latest	pretty	during	x	close	won	probably	both	whatever	else	look	while	used	user	game	some	step	visit	within	similar	e	go	facebook	click	camera	started	meet	control	links	software	including	front	keep	grow	exactly	need	able	she	problem	computer	state	key	well	page	twitter	home	he	stories	piece	star	friends	companies	likely	even	tips	ever	met	call	tell	room	give	answer	president	before	personal	better	weeks	went	side	content	isn	features	matter	mind	seen	don	m	stop	bad	decided	hit	said	were	against	appeared	three	website	say	if	make	left	human	yes	yet	save	deal	dead	track	popular	super	down	pages	daily	finally	did	run	wait	making	may	man	maybe	talk	nbsp	group	interesting	rock	language	thing	think	first	long	little	anyone	paid	especially	shot	show	black	get	morning	enough	reading	across	according	mark	doesn	those	pay	same	running	money	either	trying	videos	general	again	students	important	u	public	search	two	share	needs	different	coming	through	someone	everyone	house	energy	hard	idea	done	least	part	believe	b	build	tool	services	fine	find	please	point	simple	simply	create	understand	bill	fun	itself	yesterday	spent	source	big	bit	google	often	back	entire	giving	others	later	themselves	watch	ll	day	text	taking	holiday	value	almost	center	thought	add	works	buy	minutes	special	starting	under	every	school	changes	would	phone	must	me	times	end	over	writing	each	driving	got	free	wanted	days	already	top	too	took	though	amazon	report	however	news	been	several	specific	everything	head	hear	check	no	focus	level	says	goes	iphone	today	thousands	information	happened	name	turn	place	given	any	ideas	sure	multiple	net	written	come	myself	good	week	without	when	seems	blog	there	follow	program	far	list	design	version	known	rather	short	might	wouldn	number	feel	story	store	kind	nothing	his	him	wrote	art	recently	attention	due	questions	customers	question	fast	called	nice	users	once	issues	apple	app	few	women	something	six	instead	choose	our	york	their	which	who	why	local	view	walk	perhaps	gets	other	know	because	lead	getting	own	apps	made	whether	book
Schneier on Security	0	0	0	0	1	0	0	0	0	0	6	0	0	0	1	1	0	0	0	0	1	2	2	1	0	2	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	6	1	1	0	0	1	0	0	1	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	1	0	0	2	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	2	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	1	1	0	2	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0	2	0	0	0	0	0	0	0	0	20	2	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	4	1	0	0	0	0	1	0	1	4	0	0	0	0	0	1	0	0	0	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	1	1	0	2	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	0	0	0	0	1	1	1	1	0	0	1	3	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	4	1	2	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	5	0	0	1	0	0	2	0	0	0	2	1	1	0	1	0	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	1	0	0	4	0	1	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	6	0	1	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0
PaulStamatiou.com - Technology, Design and Photography	2	5	12	3	14	5	9	8	16	6	66	2	21	6	5	16	4	2	3	12	3	7	64	7	5	20	48	5	6	10	13	31	5	2	6	5	49	0	22	14	7	35	0	16	11	4	38	10	9	16	1	0	10	0	4	1	4	3	4	7	17	1	12	22	12	0	0	13	0	6	0	7	24	4	7	1	0	4	2	1	5	14	3	1	0	5	3	6	3	6	1	4	3	7	7	6	4	6	8	6	6	32	3	0	10	15	25	4	2	5	13	0	19	3	4	32	5	0	56	9	8	0	4	8	55	11	12	2	14	20	3	4	2	1	24	12	6	2	0	1	0	13	0	4	4	13	45	7	17	0	2	8	0	1	0	2	0	2	28	0	31	0	6	1	26	32	2	12	30	5	3	20	5	12	2	2	0	32	10	18	0	7	3	3	0	0	9	4	7	3	0	1	3	8	13	34	21	3	1	34	17	3	43	2	7	5	10	2	0	77	7	8	3	11	7	8	14	5	6	19	0	0	3	12	16	9	15	5	2	6	3	2	1	7	1	9	1	32	3	3	2	6	8	0	3	8	7	4	2	2	10	13	2	5	4	7	2	1	47	29	15	26	2	38	10	3	2	0	1	9	1	8	18	15	1	4	1	3	5	3	6	3	7	18	12	0	6	5	4	1	15	31	48	5	10	3	4	0	4	0	4	13	1	3	1	3	6	1	5	3	0	13	4	50	4	3	2	7	2	5	0	6	1	12	20	3	1	3	6	7	31	0	2	5	67	4	43	23	1	0	2	4	3	0	0	3	5	1	13	11	3	1	10	7	3	4	7	0	0	3	6	5	3	0	1	13	13	31	9	3	1	0	3	2	10	1	43	2	8	7	2	0	2	3	8	1	13	9	1	4	5	11	2	4	0	0	0	3	1	17	9	2	7	2	19	4	4	1	1	9	8	10	1	28	3	3	14	6	3	0	7	2	14	8	5	14	3	0	2	3	1	3	2	8	15	17	11	13	5	0	4	10	3	1	20	16	0	8	0	3	3	0	12	5	1	1	4	0	3	1	14	0	3	70	4	3	40	10	9	20	10	12	0	10	1	17	9	7	6	20	3	11	15	0	9	10	17	6	2	5	1	0	3	28	2	7	2	2	18	2	1	0	0	7	2	7	0	20	5	10	3	3	1	7	7	13	22	10	66	3	13	32	4	0	1	4	80	9	1	2	4	9	1	2	13	4	5	2	2	8	1	7	2	6	2	4	11	1	1	5	5	2	14	0	9	2	25	31	0	24	1	6	0	42	1	26	13	2	10	0	7	1	0	2	27	11	5	1	17	17	6	14	1	1
Search Engine Roundtable	1	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	2	0	0	0	0	0	0	2	1	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	3	0	0	0	1	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	14	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	30	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	0	0	0	0	1	2	0	0	0	0	2	0	0	0
Copyblogger	0	0	0	0	2	0	0	0	0	0	9	0	4	0	0	0	0	0	0	3	0	0	1	0	0	0	0	1	0	1	0	5	1	0	0	0	2	0	0	0	0	1	0	1	0	0	2	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	2	1	0	1	0	3	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	2	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	4	0	0	1	0	0	0	0	2	0	0	0	0	1	2	0	0	0	1	0	0	3	0	0	7	0	0	0	0	0	0	0	0	10	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	3	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	13	1	0	7	0	2	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	31	2	0	0	0	0	0	1	2	0	0	3	1	0	0	10	0	1	1	4	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	4	0	12	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	2	1	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	2	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	2	0	2	1	4	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Joi Ito's Web	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	2	0	2	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	4	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	2	0	0	0	1	1	1	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	12	3	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	3	0	0	0	0	6	3	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	1	3	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Engadget RSS Feed	0	1	0	0	0	0	1	0	2	0	2	0	5	0	1	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	2	0	3	0	0	1	0	3	1	3	1	4	0	2	0	1	1	0	0	1	0	0	1	0	0	0	6	1	0	0	0	0	0	0	2	1	2	0	2	0	0	0	0	0	0	0	1	1	0	1	0	0	2	2	0	0	2	0	0	1	3	0	1	1	2	0	1	0	0	0	1	0	0	0	6	0	0	0	0	2	0	0	7	1	0	0	0	1	2	1	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	3	0	1	0	1	0	0	0	0	1	0	0	0	0	0	3	2	0	0	0	0	1	0	3	2	0	1	1	0	0	1	0	1	1	2	0	0	1	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0	3	8	5	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	1	1	4	0	2	0	0	2	0	2	3	0	0	0	0	1	0	0	9	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	1	1	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	1	2	1	0	0	1	2	0	0	0	0	1	0	0	0	0	1	2	0	2	1	0	1	1	0	0	0	0	2	0	3	3	0	0	0	0	2	0	2	2	0	0	0	0	0	1	2	0	0	0	3	2	0	0	0	1	0	1	0	5	0	0	0	1	2	0	0	2	0	1	1	0	0	0	0	0	0	0	1	0	0	1	2	0	1	0	2	4	0	2	0	0	1	0	2	0	0	0	1	0	0	0	2	2	0	0	0	0	0	0	0	2	1	0	0	0	3	0	3	0	0	1	0	0	0	0	2	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	1	2	0	2	3	0	1	0	0	0	0	0	0	0	1	2	0	0	3	2	0	0	2	1	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	3	0	1	1	0	2	0	0	3	4	1	0	1	0	0	0	3	0	3	3	3	1	0	2	2	0	1	0	2	0	0	0	0	3	0	0	0
TMZ.com	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	1	0	0	2	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	4	0	1	1	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	10	0	0	1	0	0	0	0	0	9	1	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	2	0	0	2	1	0	1	2	0	0	1	0	0	0	0	1	0	1	0	0	2	0	2	4	2	1	0	1	0	3	1	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	3	1	1	5	3	0	0	1	0	2	0	1	0	0	0	0	0	0	1	0	4	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0	0	0	0	2	0	0	2	16	0	0	2	0	0	0	0	0	1	0	0	1	0	2	0	0	1	0	1	0	3	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	4	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	2	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	2	0	2	0	0	0	7	1	0	1	0	0	1	0	0	0	0	0	0	6	2	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	13	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	5	0	0	0	0	0	0	1	1	1	0	2	0	0	0	0	0
Signal v. Noise	0	0	1	2	13	0	9	1	13	5	12	2	26	3	1	3	4	1	2	11	10	0	16	5	1	12	9	4	5	16	3	28	1	0	4	0	24	2	5	3	11	6	1	10	0	2	45	7	6	8	2	2	0	7	1	0	2	6	2	0	12	4	13	4	4	1	0	0	0	4	0	10	5	0	18	1	1	2	0	7	4	2	0	0	0	2	2	0	1	5	0	3	8	4	7	0	9	5	1	12	0	10	2	0	6	9	2	6	2	1	0	1	7	0	5	17	2	1	20	10	3	1	2	10	1	5	4	3	9	3	5	2	2	8	7	5	1	0	1	7	0	3	2	7	2	26	0	4	11	1	3	0	5	2	2	1	0	2	33	0	4	2	4	0	13	19	1	6	12	5	0	0	0	0	2	0	0	1	0	16	0	0	7	0	0	1	3	1	1	0	0	1	2	0	6	11	3	2	0	12	3	1	2	3	0	3	22	0	0	11	4	2	3	11	1	3	9	0	1	5	16	5	4	3	4	3	3	2	2	0	0	1	1	2	0	2	0	5	3	2	0	3	6	0	0	7	4	0	2	0	1	1	2	2	4	5	2	2	4	5	2	2	3	10	3	0	0	0	0	9	1	4	3	1	2	0	0	3	2	2	6	0	1	5	1	6	3	0	0	2	7	0	0	2	0	1	0	0	0	7	2	19	0	10	2	5	2	0	7	1	0	6	1	5	2	0	2	3	8	0	4	1	1	25	17	2	1	0	1	0	6	4	0	3	0	3	17	23	1	2	2	2	0	1	1	0	2	1	5	0	0	3	1	2	7	13	5	2	2	2	0	4	4	0	4	5	11	7	8	4	2	0	2	3	4	1	17	2	8	0	1	1	1	3	9	3	3	1	13	3	4	0	0	4	0	3	1	1	0	4	3	3	6	1	5	8	7	1	0	2	5	2	3	7	4	2	3	14	1	0	8	3	2	6	4	1	1	1	3	2	1	0	0	10	0	0	4	9	0	1	4	4	3	0	12	4	0	1	0	0	4	0	3	1	1	1	0	2	1	1	9	1	3	12	1	0	10	3	4	15	2	1	0	4	3	15	4	5	1	10	2	1	0	0	1	2	9	2	2	5	1	2	6	27	1	3	2	1	0	3	1	1	0	2	1	4	0	6	5	3	0	0	1	4	2	10	5	3	27	1	1	24	0	0	1	0	8	1	0	4	1	6	2	0	5	2	2	2	2	0	0	0	0	0	2	1	0	9	4	3	2	1	2	6	0	1	8	9	0	7	1	2	2	24	0	24	9	15	13	0	0	2	1	2	9	7	7	2	3	11	4	6	2	2
A Consuming Experience (full feed)	0	0	0	1	16	0	1	2	9	0	12	0	13	1	0	2	1	0	2	4	1	1	1	0	9	2	12	1	5	10	6	9	2	0	4	5	13	0	0	0	1	7	2	5	0	1	27	2	0	5	3	0	0	2	29	0	0	0	1	4	3	2	2	8	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	4	11	2	0	4	0	0	1	3	0	2	0	0	0	0	6	6	11	3	0	10	0	1	6	20	0	0	0	0	2	1	7	3	6	0	2	0	22	0	0	0	0	18	1	2	0	0	8	2	0	3	0	1	8	10	1	2	0	0	0	13	2	1	0	19	3	1	1	0	0	1	0	3	5	0	0	20	15	0	13	1	0	0	34	8	3	2	16	0	0	0	0	0	1	0	3	9	0	15	0	4	0	0	0	0	2	1	0	0	0	0	0	0	0	18	4	0	0	14	0	4	0	1	0	0	5	2	0	19	1	0	0	0	0	1	1	2	0	17	0	0	3	0	2	0	2	0	0	0	3	1	0	2	2	0	0	0	0	0	0	2	0	0	0	3	0	3	0	1	0	4	8	2	2	11	0	3	5	1	2	2	0	14	2	1	3	1	0	14	0	18	0	2	0	0	0	0	0	0	8	0	2	8	1	0	10	4	0	3	5	2	0	0	0	0	0	0	0	0	1	13	5	0	0	0	0	0	1	0	0	12	2	3	0	0	0	0	3	0	0	1	0	19	1	5	1	0	2	0	3	2	0	0	1	2	54	18	10	0	5	3	7	1	0	0	0	0	8	0	0	1	2	4	0	0	15	0	0	0	29	0	0	0	0	2	1	10	3	0	0	0	1	0	2	0	17	0	2	0	3	0	0	7	4	0	17	6	0	1	7	0	2	16	0	1	0	0	6	4	0	0	2	0	1	0	0	0	0	1	0	1	3	0	0	1	0	24	0	2	9	6	1	0	0	1	0	0	0	3	0	0	3	2	13	0	0	9	0	1	1	4	0	0	8	1	3	2	0	1	1	0	0	18	3	0	4	0	3	0	5	0	2	2	0	1	12	1	1	12	0	2	0	4	6	1	1	7	8	3	1	3	2	2	6	0	5	0	2	3	0	0	6	10	0	0	1	1	0	0	0	0	1	13	1	1	1	2	0	11	4	0	1	0	1	1	0	5	18	5	1	24	0	7	3	3	0	22	0	1	0	1	3	4	1	0	1	1	2	0	0	0	0	2	0	0	0	0	0	1	1	0	2	4	4	1	0	1	0	5	0	4	6	0	0	4	16	3	3	0	10	0	1	2	13	2	14	1	2	3	0	4	0	0
Latest from Crooks and Liars	0	0	2	0	1	1	2	0	5	0	7	0	2	0	0	2	0	0	0	1	0	1	1	1	0	2	1	0	0	5	3	4	0	0	0	0	1	0	0	0	0	0	1	0	2	0	8	2	2	7	0	1	1	0	2	0	0	3	1	0	3	0	3	2	1	0	3	0	2	0	0	3	0	0	2	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	1	0	2	0	3	2	0	0	0	0	1	0	0	0	0	3	1	0	6	1	0	5	1	0	0	0	0	1	2	1	1	0	0	0	0	0	1	4	0	1	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	1	0	8	0	0	0	2	2	0	2	3	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	5	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	1	6	0	0	3	0	6	2	2	0	0	2	0	0	1	10	0	1	0	0	0	0	2	0	4	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	2	0	0	0	0	1	0	1	0	1	3	0	0	0	3	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	2	1	5	0	0	0	1	0	0	0	0	12	0	2	0	0	1	0	3	0	0	0	0	1	1	1	0	3	1	0	1	0	3	0	0	0	0	1	0	0	6	3	1	1	0	0	4	2	4	0	0	0	3	6	2	1	0	1	1	0	0	1	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	2	2	1	0	1	0	0	0	1	3	1	0	0	1	0	0	0	3	0	1	0	0	1	0	0	0	0	2	0	2	1	0	2	1	1	0	0	0	2	2	0	0	1	2	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	3	4	0	0	2	0	0	1	0	0	0	1	2	1	0	0	0	2	0	3	0	2	0	0	0	1	0	0	0	4	0	1	0	2	0	0	0	10	0	0	2	1	0	2	1	0	0	4	0	0	0	1	2	1	0	0	0	0	0	4	5	1	0	0	0	3	1	6	0	0	1	2	0	1	0	0	2	0	0	0	0	2	0	1	0	0	0	1	1	2	0	0	7	0	0	3	0	1	1	1	0	0	1	0	0	0	2	0	0	1	0	0	0	6	2	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	3	0	9	1	3	7	0	0	0	0	1	1	1	6	0	2	3	0	1	0	0
